abilities	against_bug	against_dark	against_dragon	against_electric	against_fairy	against_fight	against_fire	against_flying	against_ghost	against_grass	against_ground	against_ice	against_normal	against_poison	against_psychic	against_rock	against_steel	against_water	attack	base_egg_steps	base_happiness	base_total	capture_rate	classfication	defense	experience_growth	hp	japanese_name	name	pokedex_number	sp_attack	sp_defense	speed	type1	generation	is_legendary
"['Overgrow', 'Chlorophyll']"	1	1	1	0.5	0.5	0.5	2	2	1	0.25	1	2	1	1	2	1	1	0.5	49	5120	70	318	45	Seed Pokmon	49	1059860	45	Fushigidane?t?V?M?_?l	Bulbasaur	1	65	65	45	grass	1	0
"['Overgrow', 'Chlorophyll']"	1	1	1	0.5	0.5	0.5	2	2	1	0.25	1	2	1	1	2	1	1	0.5	62	5120	70	405	45	Seed Pokmon	63	1059860	60	Fushigisou?t?V?M?\?E	Ivysaur	2	80	80	60	grass	1	0
"['Overgrow', 'Chlorophyll']"	1	1	1	0.5	0.5	0.5	2	2	1	0.25	1	2	1	1	2	1	1	0.5	100	5120	70	625	45	Seed Pokmon	123	1059860	80	Fushigibana?t?V?M?o?i	Venusaur	3	122	120	80	grass	1	0
"['Blaze', 'Solar Power']"	0.5	1	1	1	0.5	1	0.5	1	1	0.5	2	0.5	1	1	1	2	0.5	2	52	5120	70	309	45	Lizard Pokmon	43	1059860	39	Hitokage?q?g?J?Q	Charmander	4	60	50	65	fire	1	0
"['Blaze', 'Solar Power']"	0.5	1	1	1	0.5	1	0.5	1	1	0.5	2	0.5	1	1	1	2	0.5	2	64	5120	70	405	45	Flame Pokmon	58	1059860	58	Lizardo???U?[?h	Charmeleon	5	80	65	80	fire	1	0
"['Blaze', 'Solar Power']"	0.25	1	1	2	0.5	0.5	0.5	1	1	0.25	0	1	1	1	1	4	0.5	2	104	5120	70	634	45	Flame Pokmon	78	1059860	78	Lizardon???U?[?h??	Charizard	6	159	115	100	fire	1	0
"['Torrent', 'Rain Dish']"	1	1	1	2	1	1	0.5	1	1	2	1	0.5	1	1	1	1	0.5	0.5	48	5120	70	314	45	Tiny Turtle Pokmon	65	1059860	44	Zenigame?[?j?K??	Squirtle	7	50	64	43	water	1	0
"['Torrent', 'Rain Dish']"	1	1	1	2	1	1	0.5	1	1	2	1	0.5	1	1	1	1	0.5	0.5	63	5120	70	405	45	Turtle Pokmon	80	1059860	59	Kameil?J???[??	Wartortle	8	65	80	58	water	1	0
"['Torrent', 'Rain Dish']"	1	1	1	2	1	1	0.5	1	1	2	1	0.5	1	1	1	1	0.5	0.5	103	5120	70	630	45	Shellfish Pokmon	120	1059860	79	Kamex?J???b?N?X	Blastoise	9	135	115	78	water	1	0
"['Shield Dust', 'Run Away']"	1	1	1	1	1	0.5	2	2	1	0.5	0.5	1	1	1	1	2	1	1	30	3840	70	195	255	Worm Pokmon	35	1000000	45	Caterpie?L???^?s?[	Caterpie	10	20	20	45	bug	1	0
['Shed Skin']	1	1	1	1	1	0.5	2	2	1	0.5	0.5	1	1	1	1	2	1	1	20	3840	70	205	120	Cocoon Pokmon	55	1000000	50	Transel?g?????Z??	Metapod	11	25	25	30	bug	1	0
"['Compoundeyes', 'Tinted Lens']"	0.5	1	1	2	1	0.25	2	2	1	0.25	0	2	1	1	1	4	1	1	45	3840	70	395	45	Butterfly Pokmon	50	1000000	60	Butterfree?o?^?t???[	Butterfree	12	90	80	70	bug	1	0
"['Shield Dust', 'Run Away']"	0.5	1	1	1	0.5	0.25	2	2	1	0.25	1	1	1	0.5	2	2	1	1	35	3840	70	195	255	Hairy Pokmon	30	1000000	40	Beedle?r?[?h??	Weedle	13	20	20	50	bug	1	0
['Shed Skin']	0.5	1	1	1	0.5	0.25	2	2	1	0.25	1	1	1	0.5	2	2	1	1	25	3840	70	205	120	Cocoon Pokmon	50	1000000	45	Cocoon?R?N?[??	Kakuna	14	25	25	35	bug	1	0
"['Swarm', 'Sniper']"	0.5	1	1	1	0.5	0.25	2	2	1	0.25	1	1	1	0.5	2	2	1	1	150	3840	70	495	45	Poison Bee Pokmon	40	1000000	65	Spear?X?s?A?[	Beedrill	15	15	80	145	bug	1	0
"['Keen Eye', 'Tangled Feet', 'Big Pecks']"	0.5	1	1	2	1	1	1	1	0	0.5	0	2	1	1	1	2	1	1	45	3840	70	251	255	Tiny Bird Pokmon	40	1059860	40	Poppo?|?b?|	Pidgey	16	35	35	56	normal	1	0
"['Keen Eye', 'Tangled Feet', 'Big Pecks']"	0.5	1	1	2	1	1	1	1	0	0.5	0	2	1	1	1	2	1	1	60	3840	70	349	120	Bird Pokmon	55	1059860	63	Pigeon?s?W????	Pidgeotto	17	50	50	71	normal	1	0
"['Keen Eye', 'Tangled Feet', 'Big Pecks']"	0.5	1	1	2	1	1	1	1	0	0.5	0	2	1	1	1	2	1	1	80	3840	70	579	45	Bird Pokmon	80	1059860	83	Pigeot?s?W???b?g	Pidgeot	18	135	80	121	normal	1	0
"['Run Away', 'Guts', 'Hustle', 'Gluttony', 'Hustle', 'Thick Fat']"	1	1	1	1	1	2	1	1	0	1	1	1	1	1	1	1	1	1	56	3840	70	253	255	Mouse Pokmon	35	1000000	30	Koratta?R???b?^	Rattata	19	25	35	72	normal	1	0
"['Run Away', 'Guts', 'Hustle', 'Gluttony', 'Hustle', 'Thick Fat']"	1	1	1	1	1	2	1	1	0	1	1	1	1	1	1	1	1	1	71	3840	70	413	127	Mouse Pokmon	70	1000000	75	Ratta???b?^	Raticate	20	40	80	77	normal	1	0
"['Keen Eye', 'Sniper']"	0.5	1	1	2	1	1	1	1	0	0.5	0	2	1	1	1	2	1	1	60	3840	70	262	255	Tiny Bird Pokmon	30	1000000	40	Onisuzume?I?j?X?Y??	Spearow	21	31	31	70	normal	1	0
"['Keen Eye', 'Sniper']"	0.5	1	1	2	1	1	1	1	0	0.5	0	2	1	1	1	2	1	1	90	3840	70	442	90	Beak Pokmon	65	1000000	65	Onidrill?I?j?h????	Fearow	22	61	61	100	normal	1	0
"['Intimidate', 'Shed Skin', 'Unnerve']"	0.5	1	1	1	0.5	0.5	1	1	1	0.5	2	1	1	0.5	2	1	1	1	60	5120	70	288	255	Snake Pokmon	44	1000000	35	Arbo?A?[?{	Ekans	23	40	54	55	poison	1	0
"['Intimidate', 'Shed Skin', 'Unnerve']"	0.5	1	1	1	0.5	0.5	1	1	1	0.5	2	1	1	0.5	2	1	1	1	95	5120	70	448	90	Cobra Pokmon	69	1000000	60	Arbok?A?[?{?b?N	Arbok	24	65	79	80	poison	1	0
"['Static', 'Lightningrod']"	1	1	1	0.5	1	1	1	0.5	1	1	2	1	1	1	1	1	0.5	1	55	2560	70	320	190	Mouse Pokmon	40	1000000	35	Pikachu?s?J?`???E	Pikachu	25	50	50	90	electric	1	0
"['Static', 'Lightningrod', 'Surge Surfer']"	1	1	1	0.5	1	1	1	0.5	1	1	2	1	1	1	1	1	0.5	1	85	2560	70	485	75	Mouse Pokmon	50	1000000	60	Raichu???C?`???E	Raichu	26	95	85	110	electric	1	0
"['Sand Veil', 'Sand Rush', 'Snow Cloak', 'Slush Rush']"	1	1	1	0	1	1	1	1	1	2	1	2	1	0.5	1	0.5	1	2	75	5120	70	300	255	Mouse Pokmon	90	1000000	50	Sand?T???h	Sandshrew	27	10	35	40	ground	1	0
"['Sand Veil', 'Sand Rush', 'Snow Cloak', 'Slush Rush']"	1	1	1	0	1	1	1	1	1	2	1	2	1	0.5	1	0.5	1	2	100	5120	70	450	90	Mouse Pokmon	120	1000000	75	Sandpan?T???h?p??	Sandslash	28	25	65	65	ground	1	0
"['Poison Point', 'Rivalry', 'Hustle']"	0.5	1	1	1	0.5	0.5	1	1	1	0.5	2	1	1	0.5	2	1	1	1	47	5120	70	275	235	Poison Pin Pokmon	52	1059860	55	Nidoran??j?h??????	Nidoran??	29	40	40	41	poison	1	0
"['Poison Point', 'Rivalry', 'Hustle']"	0.5	1	1	1	0.5	0.5	1	1	1	0.5	2	1	1	0.5	2	1	1	1	62	5120	70	365	120	Poison Pin Pokmon	67	1059860	70	Nidorina?j?h???[?i	Nidorina	30	55	55	56	poison	1	0
"['Poison Point', 'Rivalry', 'Sheer Force']"	0.5	1	1	0	0.5	0.5	1	1	1	1	2	2	1	0.25	2	0.5	1	2	92	5120	70	505	45	Drill Pokmon	87	1059860	90	Nidoqueen?j?h?N?C??	Nidoqueen	31	75	85	76	poison	1	0
"['Poison Point', 'Rivalry', 'Hustle']"	0.5	1	1	1	0.5	0.5	1	1	1	0.5	2	1	1	0.5	2	1	1	1	57	5120	70	273	235	Poison Pin Pokmon	40	1059860	46	Nidoran??j?h??????	Nidoran??	32	40	40	50	poison	1	0
"['Poison Point', 'Rivalry', 'Hustle']"	0.5	1	1	1	0.5	0.5	1	1	1	0.5	2	1	1	0.5	2	1	1	1	72	5120	70	365	120	Poison Pin Pokmon	57	1059860	61	Nidorino?j?h???[?m	Nidorino	33	55	55	65	poison	1	0
"['Poison Point', 'Rivalry', 'Sheer Force']"	0.5	1	1	0	0.5	0.5	1	1	1	1	2	2	1	0.25	2	0.5	1	2	102	5120	70	505	45	Drill Pokmon	77	1059860	81	Nidoking?j?h?L???O	Nidoking	34	85	75	85	poison	1	0
"['Cute Charm', 'Magic Guard', 'Friend Guard']"	0.5	0.5	0	1	1	0.5	1	1	1	1	1	1	1	2	1	1	2	1	45	2560	140	323	150	Fairy Pokmon	48	800000	70	Pippi?s?b?s	Clefairy	35	60	65	35	fairy	1	0
"['Cute Charm', 'Magic Guard', 'Unaware']"	0.5	0.5	0	1	1	0.5	1	1	1	1	1	1	1	2	1	1	2	1	70	2560	140	483	25	Fairy Pokmon	73	800000	95	Pixy?s?N?V?[	Clefable	36	95	90	60	fairy	1	0
"['Flash Fire', 'Drought', 'Snow Cloak', 'Snow Warning']"	0.5	1	1	1	0.5	1	0.5	1	1	0.5	2	0.5	1	1	1	2	0.5	2	41	5120	70	299	190	Fox Pokmon	40	1000000	38	Rokon???R??	Vulpix	37	50	65	65	fire	1	0
"['Flash Fire', 'Drought', 'Snow Cloak', 'Snow Warning']"	0.5	1	1	1	0.5	1	0.5	1	1	0.5	2	0.5	1	1	1	2	0.5	2	67	5120	70	505	75	Fox Pokmon	75	1000000	73	Kyukon?L???E?R??	Ninetales	38	81	100	109	fire	1	0
"['Cute Charm', 'Competitive', 'Friend Guard']"	0.5	0.5	0	1	1	1	1	1	0	1	1	1	1	2	1	1	2	1	45	2560	70	270	170	Balloon Pokmon	20	800000	115	Purin?v????	Jigglypuff	39	45	25	20	normal	1	0
"['Cute Charm', 'Competitive', 'Frisk']"	0.5	0.5	0	1	1	1	1	1	0	1	1	1	1	2	1	1	2	1	70	2560	70	435	50	Balloon Pokmon	45	800000	140	Pukurin?v?N????	Wigglytuff	40	85	50	45	normal	1	0
"['Inner Focus', 'Infiltrator']"	0.25	1	1	2	0.5	0.25	1	1	1	0.25	0	2	1	0.5	2	2	1	1	45	3840	70	245	255	Bat Pokmon	35	1000000	40	Zubat?Y?o?b?g	Zubat	41	30	40	55	poison	1	0
"['Inner Focus', 'Infiltrator']"	0.25	1	1	2	0.5	0.25	1	1	1	0.25	0	2	1	0.5	2	2	1	1	80	3840	70	455	90	Bat Pokmon	70	1000000	75	Golbat?S???o?b?g	Golbat	42	65	75	90	poison	1	0
"['Chlorophyll', 'Run Away']"	1	1	1	0.5	0.5	0.5	2	2	1	0.25	1	2	1	1	2	1	1	0.5	50	5120	70	320	255	Weed Pokmon	55	1059860	45	Nazonokusa?i?]?m?N?T	Oddish	43	75	65	30	grass	1	0
"['Chlorophyll', 'Stench']"	1	1	1	0.5	0.5	0.5	2	2	1	0.25	1	2	1	1	2	1	1	0.5	65	5120	70	395	120	Weed Pokmon	70	1059860	60	Kusaihana?N?T?C?n?i	Gloom	44	85	75	40	grass	1	0
"['Chlorophyll', 'Effect Spore']"	1	1	1	0.5	0.5	0.5	2	2	1	0.25	1	2	1	1	2	1	1	0.5	80	5120	70	490	45	Flower Pokmon	85	1059860	75	Ruffresia???t???V?A	Vileplume	45	110	90	50	grass	1	0
"['Effect Spore', 'Dry Skin', 'Damp']"	2	1	1	0.5	1	0.5	4	4	1	0.25	0.25	2	1	2	1	2	1	0.5	70	5120	70	285	190	Mushroom Pokmon	55	1000000	35	Paras?p???X	Paras	46	45	55	25	bug	1	0
"['Effect Spore', 'Dry Skin', 'Damp']"	2	1	1	0.5	1	0.5	4	4	1	0.25	0.25	2	1	2	1	2	1	0.5	95	5120	70	405	75	Mushroom Pokmon	80	1000000	60	Parasect?p???Z?N?g	Parasect	47	60	80	30	bug	1	0
"['Compoundeyes', 'Tinted Lens', 'Run Away']"	0.5	1	1	1	0.5	0.25	2	2	1	0.25	1	1	1	0.5	2	2	1	1	55	5120	70	305	190	Insect Pokmon	50	1000000	60	Kongpang?R???p??	Venonat	48	40	55	45	bug	1	0
"['Shield Dust', 'Tinted Lens', 'Wonder Skin ']"	0.5	1	1	1	0.5	0.25	2	2	1	0.25	1	1	1	0.5	2	2	1	1	65	5120	70	450	75	Poison Moth Pokmon	60	1000000	70	Morphon?????t?H??	Venomoth	49	90	75	90	bug	1	0
"['Sand Veil', 'Arena Trap', 'Sand Force', 'Sand Veil', 'Tangling Hair', 'Sand Force']"	1	1	1	0	1	1	1	1	1	2	1	2	1	0.5	1	0.5	1	2	55	5120	70	265	255	Mole Pokmon	30	1000000	10	Digda?f?B?O?_	Diglett	50	35	45	90	ground	1	0
"['Sand Veil', 'Arena Trap', 'Sand Force', 'Sand Veil', 'Tangling Hair', 'Sand Force']"	1	1	1	0	1	1	1	1	1	2	1	2	1	0.5	1	0.5	1	2	100	5120	70	425	50	Mole Pokmon	60	1000000	35	Dugtrio?_?O?g???I	Dugtrio	51	50	70	110	ground	1	0
"['Pickup', 'Technician', 'Unnerve', 'Pickup', 'Technician', 'Rattled']"	1	1	1	1	1	2	1	1	0	1	1	1	1	1	1	1	1	1	35	5120	70	290	255	Scratch Cat Pokmon	35	1000000	40	Nyarth?j???[?X	Meowth	52	50	40	90	normal	1	0
